Date,Close,High,Low,Open,Volume
2023-06-05 00:00:00,328.1749572753906,330.734392827561,326.924544875392,327.47159843713,21307100
2023-06-06 00:00:00,325.9671630859375,327.6181020499909,324.4920861780968,327.57901828059016,20396200
2023-06-07 00:00:00,315.9052734375,326.75845825838536,315.045609330463,323.9841067025186,40717100
2023-06-08 00:00:00,317.7418518066406,319.0899588404042,315.8759965452041,316.4523555298072,23277700
2023-06-09 00:00:00,319.2364501953125,322.3624661949436,316.9114577219513,317.47803824659906,22529000
2023-06-12 00:00:00,324.179443359375,324.4236647224886,317.6440772974819,320.98500885005564,24260300
2023-06-13 00:00:00,326.5631103515625,329.1909351194717,322.7532623015664,326.7389426125968,22951300
2023-06-14 00:00:00,329.5425720214844,331.2032894023308,325.11728161658255,326.61191533447175,26003800
2023-06-15 00:00:00,340.0538024902344,341.7535734902933,329.4057579437553,329.6792846542496,38899100
2023-06-16 00:00:00,334.417236328125,343.3459850753044,334.04604484014123,343.1994581968657,46552000
2023-06-20 00:00:00,330.2361755371094,334.1730234363889,328.0967936208768,331.4670609717045,26375400
2023-06-21 00:00:00,325.8499450683594,329.923570971666,324.3943951235906,328.59499110748806,25117800
2023-06-22 00:00:00,331.8577880859375,332.2583147464339,325.6350317853251,326.3970013361719,23556800
2023-06-23 00:00:00,327.2761535644531,330.1481991797799,325.7424660612822,326.6314055883412,23146900
2023-06-26 00:00:00,321.00457763671875,328.3409673865728,320.89710473059927,326.00622657027685,21520600
2023-06-27 00:00:00,326.8365783691406,328.38004429209786,321.68837287006505,324.18919728458985,24354100
2023-06-28 00:00:00,328.0870666503906,330.16783795083114,326.09421148504384,326.9245702882871,20259500
2023-06-29 00:00:00,327.30548095703125,328.3409772213773,324.93165630266327,326.97334345829574,16997000
2023-06-30 00:00:00,332.6686706542969,334.8080527610433,329.4058759346282,329.94315115449086,26832800
2023-07-03 00:00:00,330.1775817871094,333.0203226963317,328.7904208148886,331.3498565292041,12508700
