Date,Close,High,Low,Open,Volume
2023-06-07,59.560001373291016,64.81999969482422,59.32500076293945,64.01000213623047,18023900
2023-06-08,59.27999877929688,61.119998931884766,58.07600021362305,59.27999877929688,13235100
2023-06-09,61.36000061035156,62.29999923706055,59.59999847412109,59.79999923706055,12947300
2023-06-12,65.01000213623047,65.62000274658203,61.93000030517578,62.09999847412109,23168300
2023-06-13,63.84000015258789,66.5,63.29999923706055,66.0,16201900
2023-06-14,65.87999725341797,66.55999755859375,63.84999847412109,63.97999954223633,16711900
2023-06-15,66.0999984741211,66.33999633789062,63.81999969482422,65.33000183105469,11963300
2023-06-16,64.70999908447266,67.36000061035156,64.51000213623047,66.98999786376953,13567800
2023-06-20,64.26000213623047,66.56999969482422,63.31999969482422,65.0,12884400
2023-06-21,63.16999816894531,64.8499984741211,61.84999847412109,64.16000366210938,12508600
2023-06-22,63.47999954223633,64.05999755859375,62.04999923706055,62.650001525878906,11134600
2023-06-23,63.790000915527344,63.91999816894531,61.58000183105469,62.02999877929688,8620900
2023-06-26,63.25,64.94000244140625,63.119998931884766,63.369998931884766,8599300
2023-06-27,63.79999923706055,64.54000091552734,62.77999877929688,63.45000076293945,9592500
2023-06-28,64.62000274658203,66.30500030517578,63.290000915527344,63.79999923706055,10721700
2023-06-29,63.7599983215332,64.80999755859375,63.16999816894531,64.77999877929688,8527900
2023-06-30,64.5999984741211,65.3499984741211,64.19999694824219,64.47000122070312,10880400
2023-07-03,64.8499984741211,66.41999816894531,64.37000274658203,65.04000091552734,7509500
2023-07-05,64.44000244140625,64.7300033569336,63.06999969482422,64.62999725341797,12541100
2023-07-06,61.83000183105469,63.29999923706055,61.43999862670898,63.04999923706055,13301200
2023-07-07,61.66999816894531,63.33000183105469,61.59999847412109,62.11000061035156,7984100
2023-07-10,61.88999938964844,62.040000915527344,60.5099983215332,61.25,8457600
2023-07-11,63.150001525878906,63.27999877929688,62.11000061035156,62.25,8330100
2023-07-12,65.94000244140625,65.94999694824219,63.70000076293945,64.37000274658203,14865500
2023-07-13,70.37000274658203,70.5,66.80999755859375,67.0199966430664,22978300
2023-07-14,68.44999694824219,71.43000030517578,68.41999816894531,70.61000061035156,12111300
2023-07-17,68.68000030517578,69.88999938964844,67.87000274658203,68.5999984741211,9671300
2023-07-18,67.26000213623047,68.45999908447266,65.25,68.45999908447266,14971800
2023-07-19,68.2300033569336,69.12999725341797,67.41000366210938,67.87999725341797,9139300
2023-07-20,65.44000244140625,68.26799774169922,65.0250015258789,67.2699966430664,10732300
2023-07-21,65.56999969482422,66.63500213623047,65.19000244140625,66.26000213623047,7400900
2023-07-24,66.16999816894531,67.69999694824219,65.51000213623047,67.0,10457300
2023-07-25,64.98999786376953,66.4800033569336,64.85399627685547,65.91000366210938,8531200
2023-07-26,64.68000030517578,65.9000015258789,63.90999984741211,64.5,8663000
2023-07-27,63.959999084472656,67.79000091552734,63.525001525878906,66.31999969482422,12823800
2023-07-28,66.04000091552734,66.26000213623047,64.87000274658203,65.01000213623047,7783200
2023-07-31,67.58000183105469,68.30999755859375,66.76000213623047,66.94999694824219,9079000
2023-08-01,67.44999694824219,67.63999938964844,65.58999633789062,66.7699966430664,9900400
2023-08-02,62.43000030517578,66.18099975585938,61.9900016784668,65.63999938964844,25987400
2023-08-03,59.040000915527344,64.25,58.33000183105469,61.880001068115234,35450300
2023-08-04,57.93000030517578,61.18000030517578,57.66999816894531,60.25,17069400
2023-08-07,57.56999969482422,58.05899810791016,56.5099983215332,57.61000061035156,10887400
2023-08-08,56.18999862670898,57.310001373291016,55.72999954223633,56.45000076293945,12202300
2023-08-09,55.20000076293945,57.06499862670898,55.09000015258789,56.09999847412109,9709000
2023-08-10,56.470001220703125,57.20000076293945,55.380001068115234,56.29999923706055,11696400
2023-08-11,55.27000045776367,55.94200134277344,54.709999084472656,55.59000015258789,8678100
2023-08-14,55.97999954223633,55.9900016784668,54.37699890136719,54.540000915527344,6531000
2023-08-15,55.34000015258789,56.20000076293945,54.77000045776367,55.68999862670898,9741000
2023-08-16,55.34000015258789,55.94499969482422,54.34999847412109,55.15999984741211,8530700
2023-08-17,53.220001220703125,55.970001220703125,52.775001525878906,55.68999862670898,13873200
2023-08-18,53.13999938964844,53.25,51.20000076293945,51.470001220703125,12153800
2023-08-21,53.93000030517578,54.27000045776367,52.89899826049805,53.40999984741211,7606800
2023-08-22,53.959999084472656,55.084999084472656,53.84000015258789,54.70000076293945,6622400
2023-08-23,56.72999954223633,57.005001068115234,54.11000061035156,54.18999862670898,13232000
2023-08-24,55.459999084472656,57.16999816894531,54.93199920654297,57.09999847412109,8956200
2023-08-25,55.540000915527344,56.63999938964844,54.06800079345703,55.43000030517578,8956000
2023-08-28,56.310001373291016,56.72499847412109,55.75,56.2400016784668,7511900
2023-08-29,58.79999923706055,59.14899826049805,56.0099983215332,56.27999877929688,9897800
2023-08-30,60.0099983215332,60.02899932861328,58.369998931884766,58.59000015258789,7972400
