Date,Open,High,Low,Close,Volume
2023-06-08 00:00:00,76.3892,77.3598,75.8001,77.282,2191717.0
2023-06-09 00:00:00,77.4357,78.584,77.2512,77.3223,1924688.0
2023-06-12 00:00:00,77.947,82.452,77.947,82.1983,5109788.0
2023-06-13 00:00:00,82.7528,82.9575,80.8184,81.7909,3899027.0
2023-06-14 00:00:00,82.2502,85.3869,81.4161,85.1601,4352396.0
2023-06-15 00:00:00,84.99,85.3321,83.7032,84.8958,3381353.0
2023-06-16 00:00:00,85.4575,85.5224,83.1675,83.4236,6829894.0
2023-06-20 00:00:00,82.8999,84.2846,82.7413,83.4159,2753723.0
2023-06-21 00:00:00,83.0845,83.6642,81.5967,81.8923,2322881.0
2023-06-22 00:00:00,81.6441,82.0131,80.6992,81.3871,2347326.0
2023-06-23 00:00:00,80.5736,80.7678,79.109,79.4278,3741325.0
2023-06-26 00:00:00,79.7032,80.8625,79.2414,79.3776,2137215.0
2023-06-27 00:00:00,80.0587,82.1184,79.3167,81.9638,2492272.0
2023-06-28 00:00:00,81.0296,82.9425,80.8683,81.9194,1944475.0
2023-06-29 00:00:00,82.5483,83.3589,81.7716,83.3328,2338598.0
2023-06-30 00:00:00,83.9076,84.4921,83.5028,83.8023,2314517.0
2023-07-03 00:00:00,83.9173,84.7008,83.5598,84.6728,903830.0
2023-07-05 00:00:00,83.7994,84.7172,83.2536,83.2642,1444642.0
2023-07-06 00:00:00,81.6354,82.4952,81.5706,81.9252,2395005.0
2023-07-07 00:00:00,82.16,82.8903,81.6025,81.8044,1940866.0
2023-07-10 00:00:00,81.9522,84.9365,81.9522,84.7974,3062175.0
2023-07-11 00:00:00,85.1239,85.3065,83.5318,85.2148,2550446.0
2023-07-12 00:00:00,85.8862,86.7161,85.2099,85.978,2819675.0
2023-07-13 00:00:00,86.8465,86.8465,84.8496,86.0176,2591199.0
2023-07-14 00:00:00,85.6118,87.2725,85.6118,85.8456,1851036.0
2023-07-17 00:00:00,86.0804,88.2251,85.9616,87.9488,2682521.0
2023-07-18 00:00:00,87.5266,87.9053,86.7808,87.2803,2451835.0
2023-07-19 00:00:00,86.6852,87.5252,85.5606,87.0813,2411756.0
2023-07-20 00:00:00,86.2282,87.6252,85.5964,85.8224,2826831.0
2023-07-21 00:00:00,87.3827,88.0261,86.3528,86.6349,7428676.0
2023-07-24 00:00:00,87.0262,87.4745,86.3915,87.1025,1999382.0
2023-07-25 00:00:00,87.0088,89.1883,87.0088,88.6869,2004161.0
2023-07-26 00:00:00,87.8184,87.9749,85.7558,86.2813,1987667.0
2023-07-27 00:00:00,87.7701,87.9005,85.5964,86.3238,2192178.0
2023-07-28 00:00:00,86.8832,87.2928,86.3644,86.9286,1879426.0
2023-07-31 00:00:00,86.7074,87.0455,86.0794,86.8185,1496692.0
2023-08-01 00:00:00,86.8504,88.941,86.7268,88.8811,1970675.0
2023-08-02 00:00:00,88.1372,88.2048,86.0108,86.205,2688957.0
2023-08-03 00:00:00,85.6563,86.4977,85.121,85.4978,1829264.0
2023-08-04 00:00:00,85.4978,86.3325,84.3763,85.1761,2115785.0
2023-08-07 00:00:00,85.7587,86.6948,85.5255,86.6649,1114565.0
2023-08-08 00:00:00,85.9915,86.0408,84.3791,85.322,1408091.0
2023-08-09 00:00:00,85.2795,85.3577,81.9948,82.1889,2467248.0
2023-08-10 00:00:00,82.4198,83.2294,80.8692,81.4325,2018613.0
2023-08-11 00:00:00,80.5736,80.8045,79.5563,80.163,2033126.0
2023-08-14 00:00:00,80.2954,82.5222,79.9331,82.5145,1768800.0
2023-08-15 00:00:00,82.0421,82.5647,80.8103,81.3958,1403635.0
2023-08-16 00:00:00,81.9049,82.5532,80.3756,80.4751,1600301.0
2023-08-17 00:00:00,80.8151,81.0963,79.8973,79.906,1922777.0
2023-08-18 00:00:00,79.2201,80.0094,78.4472,79.7843,1775869.0
2023-08-21 00:00:00,80.5784,83.7936,80.3572,83.5811,3001163.0
2023-08-22 00:00:00,84.38,84.5095,82.2034,82.6778,1708164.0
2023-08-23 00:00:00,82.1928,84.8418,82.1184,84.6863,1969205.0
2023-08-24 00:00:00,87.1759,87.901,82.3561,82.5493,3093431.0
2023-08-25 00:00:00,82.7966,83.9965,80.9272,82.2942,2418053.0
2023-08-28 00:00:00,82.7357,83.4835,81.8392,83.1888,1430596.0
2023-08-29 00:00:00,82.9299,86.2567,82.7386,85.976,2782239.0
2023-08-30 00:00:00,86.2137,86.8243,84.9307,86.2031,2323424.0
2023-08-31 00:00:00,86.7567,89.2357,86.347,89.1603,5520285.0
2023-09-01 00:00:00,87.1296,87.1296,83.5347,84.2941,6501716.0
2023-09-05 00:00:00,84.0033,85.3065,83.7608,84.2603,2480807.0
2023-09-06 00:00:00,84.2921,84.7626,83.7357,84.2699,2014246.0
2023-09-07 00:00:00,83.0362,83.2478,81.2025,82.7976,2778920.0
2023-09-08 00:00:00,82.6015,83.1647,82.13,82.8478,1681900.0
2023-09-11 00:00:00,83.9318,83.954,81.6982,83.0014,1571039.0
2023-09-12 00:00:00,82.1416,82.9169,81.3127,81.589,1668027.0
2023-09-13 00:00:00,81.8469,82.9985,81.5619,82.4015,1741263.0
2023-09-14 00:00:00,82.9908,84.695,82.6015,84.209,1964828.0
2023-09-15 00:00:00,83.8728,83.8728,81.4325,82.2807,5018958.0
2023-09-18 00:00:00,81.4016,82.7299,81.1523,82.1184,1654086.0
2023-09-19 00:00:00,81.731,82.2179,81.0074,82.0411,1313196.0
2023-09-20 00:00:00,82.5647,82.5647,80.6569,80.6783,1370171.0
2023-09-21 00:00:00,77.2339,79.8944,77.2319,78.5209,5367165.0
2023-09-22 00:00:00,78.8007,80.6793,78.7171,80.5336,2779501.0
2023-09-25 00:00:00,80.4287,81.4544,79.944,81.0008,1564758.0
2023-09-26 00:00:00,80.5423,80.6487,78.7978,79.2815,1764138.0
2023-09-27 00:00:00,79.5797,80.009,78.1343,79.3417,1535268.0
2023-09-28 00:00:00,79.6681,81.4836,79.1348,80.8172,1617994.0
2023-09-29 00:00:00,81.2495,81.9867,79.9343,80.6793,1648104.0
2023-10-02 00:00:00,80.5316,81.4544,79.9916,81.1038,1467578.0
2023-10-03 00:00:00,80.3315,81.1815,78.5743,79.1494,1876086.0
2023-10-04 00:00:00,79.6836,80.6793,79.2924,80.0217,1641706.0
2023-10-05 00:00:00,79.6623,80.4899,79.2125,80.0265,1147424.0
2023-10-06 00:00:00,79.5933,82.4088,78.8473,82.1052,2110319.0
2023-10-09 00:00:00,81.639,83.2077,81.3835,83.1368,1575985.0
2023-10-10 00:00:00,83.2602,84.7556,83.1213,83.3826,1471807.0
2023-10-11 00:00:00,83.5089,85.0271,83.2019,84.9513,1433412.0
